force_id	neighbourhood_id	station_name	latitude	longitude	postcode	address
bedfordshire	10	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	11	Luton Police Station 			LU1 1SD	Buxton Road,  Luton
bedfordshire	12	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	13	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	14	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	15	Luton Police Station			LU1 1SD	Buxton Road Luton
bedfordshire	16	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	17	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	18	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	19	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	20	Luton Police Station  			LU1 1SD	Buxton Road, Luton
bedfordshire	21	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	22	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	23	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	24	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	25	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	26	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	27	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	28	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	29	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	30	Luton Police Station			LU1 1SD	Buxton Road Luton
bedfordshire	31	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	32	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	33	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	34	Luton Police Station			LU1 1SD	Buxton Road, Luton
bedfordshire	35	Luton Police Station			LU1 1SD	Buxton Road Luton
bedfordshire	36	Luton Police Station,			LU1 1SD	Luton Police Station, Buxton Road, Luton
bedfordshire	37	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	38	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	39	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	41	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	42	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	43	Luton Police Station,			LU1 1SD	Luton Police Station, Buxton Road, Luton
bedfordshire	44	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	45	Luton Police Station,			LU1 1SD	Buxton Road, Luton
bedfordshire	46	Lime Street Community Hub			MK40 1LA	Lime Street,  Bedford
bedfordshire	47	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
bedfordshire	48	Lime Street Community Hub			MK40 1LA	Lime Street Bedford
bedfordshire	49	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
bedfordshire	50	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
bedfordshire	51	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
bedfordshire	52	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
bedfordshire	53	Police HQ			MK43 9AX	Woburn Road, Kempston
bedfordshire	54	Police HQ			MK43 9AX	Woburn Road, Kempston
bedfordshire	55	Police HQ			MK43 9AX	Woburn Road, Kempston
bedfordshire	56	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
bedfordshire	57	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
bedfordshire	58	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
bedfordshire	59	Lime Street Community Hub			MK40 1LA	Lime Street, Bedford
